O,p,e,n,C,i,r,c,u,i,t,T,e,s,t
Voltage (in Volt),Current (in Ampere),Timestamp
1.20012,-2.46266e-09,0.0
1.18834,-1.21171e-09,0.023577
1.1766,-5.51617e-10,0.047153
1.16483,1.69039e-11,0.070729
1.15306,2.88761e-10,0.094306
1.1413,2.74467e-10,0.117882
1.12952,2.09987e-10,0.141458
1.11776,-1.0252e-12,0.165035
1.10602,-1.42169e-10,0.188612
1.09425,-2.00379e-10,0.212189
1.08248,-2.99728e-10,0.235765
1.07071,-2.89536e-10,0.259342
1.05894,-2.7703e-10,0.282919
1.04717,-2.44749e-10,0.306499
1.03543,-2.02298e-10,0.330075
1.02366,-1.08504e-10,0.353652
1.0119,-1.09005e-10,0.377228
1.00013,-1.26374e-10,0.400804
0.988358,-1.31476e-10,0.42438
0.976593,-1.20461e-10,0.447957
0.964852,-4.67062e-11,0.471533
0.953084,-1.04785e-11,0.495109
0.941319,1.13249e-12,0.518686
0.929539,-4.43101e-11,0.542262
0.917772,-1.07884e-10,0.565839
0.906005,-5.97358e-11,0.589416
0.894269,-4.98772e-11,0.612992
0.882499,-6.14405e-11,0.636569
0.870733,7.73668e-12,0.660145
0.858965,-3.15905e-11,0.683722
0.847192,-8.65579e-11,0.707299
0.835423,-1.42026e-10,0.730876
0.823691,-1.22237e-10,0.754453
0.811917,-9.34601e-11,0.77803
0.800146,-7.31468e-11,0.801606
0.788381,-8.67367e-11,0.825182
0.776601,-1.34277e-10,0.848758
0.76483,-1.39534e-10,0.872334
0.753092,-1.38438e-10,0.895915
0.741323,-1.55044e-10,0.919491
0.729553,-1.77598e-10,0.943067
0.717785,-2.28608e-10,0.966643
0.706015,-2.03478e-10,0.990219
0.694247,-1.64902e-10,1.0138
0.682508,-1.26064e-10,1.03737
0.670736,-1.32918e-10,1.06095
0.658969,-1.67429e-10,1.08452
0.6472,-1.67179e-10,1.1081
0.63542,-1.49488e-10,1.13168
0.623652,-1.14226e-10,1.15525
0.611914,-1.01554e-10,1.17883
0.600143,-1.3361e-10,1.20241
0.588372,-1.77157e-10,1.22599
0.576605,-1.42264e-10,1.24956
0.564834,-9.17554e-11,1.27314
0.5531,-6.25014e-11,1.29672
0.541327,-8.12888e-11,1.32029
0.529557,-7.9e-11,1.34387
0.517772,-9.85742e-11,1.36745
0.506006,-1.10006e-10,1.39102
0.494236,-4.36783e-11,1.4146
0.482491,-4.98772e-11,1.43818
0.470717,-1.32084e-10,1.46175
0.458947,-2.06721e-10,1.48533
0.447176,-1.35171e-10,1.50891
0.4354,-9.50098e-11,1.53248
0.423629,-8.48651e-11,1.55606
0.411892,-8.0657e-11,1.57964
0.400121,-1.00648e-10,1.60321
0.388349,-1.51277e-10,1.62679
0.376574,-8.03947e-11,1.65037
0.364802,-6.0451e-11,1.67395
0.353029,-9.66072e-11,1.69752
0.341286,-9.28164e-11,1.7211
0.329512,-1.17421e-10,1.74468
0.31774,-1.32728e-10,1.76825
0.305968,-8.82506e-11,1.79183
0.294197,-6.43492e-11,1.81541
0.282427,-7.69377e-11,1.83899
0.270686,-5.71132e-11,1.86256
0.258919,-7.91073e-11,1.88614
0.247146,-6.49214e-11,1.90971
0.235368,-7.72834e-11,1.93329
0.223598,-4.02212e-11,1.95687
0.211826,8.45194e-12,1.98044
0.200037,-5.32389e-11,2.00453
0.188273,-6.72579e-11,2.02811
0.176511,-3.81351e-11,2.05168
0.164749,-2.563e-11,2.07527
0.152987,-1.33991e-11,2.09884
0.141226,-7.72357e-11,2.12242
0.129461,-8.9705e-11,2.146
0.117697,-7.39098e-11,2.16957
0.105934,-8.41856e-11,2.19315
0.0941728,-9.43422e-11,2.21672
0.0824108,-7.72238e-11,2.2403
0.0706458,-1.37126e-10,2.26388
0.0588775,-1.76799e-10,2.28746
0.0471129,-1.54793e-10,2.31103
0.0353464,-1.1375e-10,2.33461
0.0235814,-6.22749e-11,2.35818
0.0118161,-1.16456e-10,2.38176
4.94242e-05,-1.36483e-10,2.40534
-0.0116663,-1.19603e-10,2.42903
-0.0234332,-7.91073e-11,2.4526
-0.0351994,-7.96199e-11,2.47618
-0.0469634,-8.65102e-11,2.49975
-0.058728,-9.70244e-11,2.52333
-0.0704921,-1.22261e-10,2.54691
-0.0822571,-7.95484e-11,2.57048
-0.0940188,-7.64728e-11,2.59406
-0.105781,-5.4884e-11,2.61764
-0.117548,-5.86391e-11,2.64121
-0.129307,-8.12411e-11,2.66479
-0.141068,-8.84891e-11,2.68837
-0.15283,-6.84381e-11,2.71195
-0.164593,-4.63843e-11,2.73552
-0.176354,-5.80668e-11,2.7591
-0.188117,-1.05405e-10,2.78268
-0.19988,-1.04475e-10,2.80625
D,a,t,e, ,a,n,d, ,T,i,m,e, ,o,f, ,m,e,a,s,u,r,e,m,e,n,t,:, ,2,0,2,1,-,0,8,-,3,1, ,2,2,:,0,0,:,5,1,.,0,7,4,6,7,7
